acid,SCN3,protein
PI507180,S,42
PI594676,,43.3
PI404198B,,42.9
PI567535A,S,46.9
PI594618C,,42.9
PI603455B,,42.8
PI398997,MS,47
PI417150,MS,44.6
PI417450,S,43.6
PI437653,S,42.6
PI437680A,S,43.3
PI507226B,S,41.7
PI518290,S,43.4
PI518707,S,43.4
PI592945,,42.4
PI339987,S,45.9
PI398300,MS,46.3
PI437681,S,44.2
PI437848A,MS,43.8
PI461509,,41.5
PI506800A,S,43.4
PI507318,S,42.6
PI567260,,45.8
PI391577,S,46.4
PI417003,S,44
PI567353,S,40.7
PI567586A,S,50.5
PI592944,,40.3
PI417354,S,44.1
PI417355A,S,45.2
PI417368,S,44.2
PI423830B,S,44.9
PI424159C,MS,46.8
PI438124B,MS,44.4
PI507237,S,43.5
PI507323,S,44.7
PI507412,S,41.8
PI538405,S,40.5
PI567423,S,42.1
PI603451B,,44.1
PI603502A,,47.9
PI181551,S,42.2
PI416897,MS,44
PI437485,S,41.4
PI437664,S,42.2
PI603455A,,42.7
PI200495,,42.1
PI339868E,MS,48.2
PI404198A,,42.5
PI438423,MS,45.8
PI438509A,S,42.8
PI449456B,S,40
PI522191,,40.3
PI417433,S,45.8
PI417541,S,44.2
PI438490B,S,43.8
PI458262,S,44.2
PI506657,S,44.8
PI567307,S,42
PI567602C,S,47.3
PI594442A,,45.7
PI594644A,,43.1
PI594821A,,40
PI603553,,42.5
PI224271,S,41.2
PI416904C,,46.4
PI438345,S,43.5
PI458147,MS,44.3
PI458189A,S,42.5
PI507362,S,42
PI507554,S,42.3
PI507563,S,43.3
PI532445,S,43
PI567596,S,46.2
PI567668,S,46.6
PI567753C,,44.2
PI603444E,,
PI603482,,42.8
PI290149,S,46.1
PI291283,S,45.2
PI417162,MS,42.2
PI437430,MS,44.7
PI437465,S,45.9
PI437733,S,43.8
PI437791,S,44.5
PI507286C,S,44.5
PI567266A,,47.5
PI578423,,39.8
PI592949,,45
PI603527A,,46.8
PI189963,S,50.4
PI398374,S,47.6
PI417001,S,45.6
PI437682A,S,43.3
PI567660B,MS,40.7
PI398281,S,43.2
PI437403,MS,46.4
PI438233B,S,43.1
PI506799,S,43.6
PI567239,,46.9
PI567262D,,48.3
PI567770B,S,
PI603304,,39.1
PI603552,,42.1
PI603569A,,42.7
PI243544,S,41.6
PI246365,,40.4
PI408137B,S,46.1
PI416965,S,43.2
PI438323,S,41.2
PI438457,S,43.5
PI503337,S,40.4
PI567710,,53.4
PI594649,,43.4
PI603428D,,49.8
PI603477A,,45.4
PI603637B,,44
PI372423,S,47.7
PI423882B,S,44.8
PI437786,S,46.6
PI437788A,S,43.3
PI507198,S,44
PI567620A,MS,47.6
PI597398,,39.3
PI605834A,,43.1
PI416898,MS,43.7
PI417479,S,44.9
PI424293,S,46.1
PI567318,S,42.1
PI567493,MS,44.6
PI399020,S,44.3
PI407902B,S,45.9
PI416998,S,43.6
PI437728,MS,43.7
PI438464,S,42.9
PI567264C,,46
PI567667A,S,45.8
PI593997,,48.1
PI417362,S,42.8
PI445802,MS,49
PI567266B,,46.8
PI567606,S,46.5
PI196504,S,47.7
PI229330,S,46.9
PI243535,S,45
PI417429,S,45.2
PI427088J,MS,44.2
PI438496A,S,47.5
PI507544,S,41.5
PI603358B,,43.5
PI603742B,,44.6
PI603908,,43.1
PI181557,S,45.1
PI200541,MS,41.1
PI594019,,46
PI398939,S,45.4
PI416889,MS,45.3
PI417367,S,43.6
PI423936,S,41.6
PI437640A,MS,45
PI153215,S,37.1
PI408020A,S,48.3
PI438496C,S,47.3
PI507015,S,41.9
PI567261D,,44.4
PI567662,S,47.7
PI567685,,
PI603542,,44.4
PI416967,S,43.1
PI424245,,42.4
PI437579,S,44.7
PI438509B,S,42
PI507285,S,45.8
PI507455,S,42.2
PI567262E,,46.4
PI567264D,,46.3
PI567371A,MS,49.7
PI567421,S,43.2
PI594650A,,43.8
PI594791,,43.1
PI417297,S,44.7
PI424234A,S,44.3
PI438018,S,41.6
PI506732,S,42.2
PI567267A,,49.4
PI567272B,,47.5
PI567289B,S,46.7
PI567429C,S,49
PI578421,,39.6
PI291272,S,46.6
PI438138B,MS,43.9
PI438152,S,45.5
PI438315,S,45.3
PI438459,S,41.3
PI504484,S,43.7
PI567428,S,42.1
PI603424C,,40.9
PI603426G,,41.2
PI360835,S,46.8
PI416835,S,46.7
PI437446,S,41.6
PI437568,S,41.9
PI442019,MS,44.9
PI506711A,S,42.3
PI567365,,49.1
PI603444A,,43.1
PI399001,MS,48
PI407827,S,46.8
PI416869,S,42.6
PI417075,S,47
PI423705,S,44.6
PI430598A,MS,45
PI437235,MS,41.6
PI567583D,MS,47.9
PI567681,MS,45.5
PI398821,MS,46.3
PI404165,MS,45.4
PI437800,MS,45.2
PI603423A,,46.5
PI603585A,,44.3
PI603758D,,
PI605830A,,49.6
PI398639,S,47.8
PI417091,,44.8
PI436562,S,44.8
PI438455,S,43.3
PI458290,S,44.4
PI506596,S,43.7
PI532434,,41.1
PI567429B,MS,44.8
PI567528B,MS,48.4
PI594448B,,41.8
PI594670A,,44.5
PI603505,,42.7
PI437725,,43.7
PI438448,S,41
PI438475B,MS,40.1
PI458084,S,42.7
PI346307,S,42.4
PI437087,MS,46.8
PI437682B,S,43.2
PI445799,MS,40.6
PI567259,,48
PI567429D,MS,43.7
PI567494,MS,45
PI594664,,46.3
PI339864A,S,44.3
PI438128B,MS,43.3
PI506595A,S,42.3
PI524993,S,46.4
PI538377,S,46.1
PI567628B,S,47.2
PI567754,,44.2
PI594603A,,44.4
PI603395,,40.8
PI437395B,S,43.9
PI561240,,41.3
PI561293,,47.1
PI398657,MS,45.3
PI407861B,S,44.2
PI417345A,S,46.7
PI438333,S,44.9
PI567213C,,41.5
PI567387,S,42.1
PI594455A,,41.7
PI594607,,44
PI603600,,43
PI346308,MS,45
PI398412,MS,44.8
PI407729,,46.9
PI194626,S,40.4
PI378663,S,44.5
PI407952A,S,45
PI417326,S,47.8
PI424181,S,43
PI438380,MS,40.6
PI445822,S,45
PI506590B,S,43.2
PI506951,S,41.1
PI567261C,,50.5
PI603425,,42.4
PI153280,S,36.9
PI194641,S,44.5
PI398753,S,44.9
PI438484,MS,45.9
PI458123B,S,42.7
PI467332,,41.7
PI594440,,43.1
PI594451,,46
PI603333,,41.3
PI603645,,47.8
PI603671,,45.8
PI603694A,,42.5
PI603724B,,
PI291278,S,45.2
PI339734,S,50.4
PI417480,S,45.1
PI438064,S,42.3
PI518287,S,44.6
PI603429D,,43.8
PI603438A,,39.4
PI153319,S,38.9
PI189876,S,40.7
PI290128,S,45.1
PI437710,S,43.1
PI561232,,42.1
PI437343,MS,47.8
PI438462,S,42.5
PI567331,MS,42.1
PI587998H,,44
PI594438,,40.9
PI603647,,49.5
PI416830,S,45.5
PI424396,S,46.3
PI437799,S,43.7
PI507440,S,42.3
PI567351B,S,47.7
PI567436,S,42.1
PI603443A,,43
PI229356,S,41
PI417327,S,45.4
PI417414B,S,45.3
PI424078,S,47.4
PI424299A,S,46.3
PI507147,S,42.8
PI567757,,42.9
PI603424D,,39.6
PI273483F,S,46.8
PI347546A,S,41.2
PI437796,S,40.8
PI507448,S,40.6
PI594550,,44.9
PI594648A,,44.6
PI594693B,,42.7
PI594801B,,45
PI603426F,,42.3
PI603444B,,42.9
PI603659,,42
PI398503,S,44.9
PI407917,S,44.2
PI416963,S,42.3
PI437443,MS,44
PI494182,,39.9
PI567171,,41.9
PI567348,S,48
PI594446,,42
PI603694B,,41.6
PI181553,S,41.8
PI567253,,47.2
PI567672,S,46.7
PI229353,S,42.5
PI398276,S,42.8
PI437797,S,42.6
PI438318,S,41.8
PI507406A,S,43.2
PI567751A,MS,45
PI594444A,,47.2
PI594452,,42.6
PI603444C,,43.3
PI253666B,S,42.6
PI360844,,46.2
PI424266,S,46.2
PI424295,S,44
PI437462C,S,44.1
PI567482C,MS,48.5
PI437083,MS,44.7
PI567694,MS,48.6
PI594454A,,41.2
PI603557,,45.4
PI342435A,S,44
PI398415,MS,47.6
PI442042,MS,40.6
PI567678,,45.4
PI567706A,,47.6
PI603491,,43.9
PI603493,,48.8
PI360850,MS,45.5
PI437685B,MS,46.1
PI458179,S,45.9
PI522189,MS,44.2
PI567523,MS,46.4
PI588026B,,45.8
PI507701,S,45.1
PI532442,S,43.8
PI567262A,,47.4
PI567262B,,48.6
PI153289,S,37.9
PI319534C,S,43
PI437678A,S,44.6
PI458062B,S,45
PI567160,,47.7
PI567577,MS,47.9
PI603545B,,48.6
PI297519,S,39.9
PI416916,S,44.2
PI567336B,,43
PI594612,,44.2
PI603444D,,
PI229362,S,41.5
PI398441,S,46.2
PI399051,MS,45.2
PI438212C,S,41.2
PI506581A,S,43.6
PI594448A,,43.8
PI603589,,45.7
PI416829,S,47.1
PI437109C,MS,44.6
PI507436,S,41.8
PI561389B,,49
PI567725,MS,48.7
PI594637,,46.9
PI603443C,,43.6
PI317335,S,45.5
PI342619B,MS,49.1
PI437156C,MS,41.5
PI437474A,S,43.5
PI507387,S,42
PI507494,S,42.2
PI562387,,45.3
PI567155B,,45.8
PI291274B,S,43.9
PI430622,MS,45.3
PI507456,S,42.9
PI567738A,MS,45.6
PI567755B,,44.1
PI603442,,44.7
PI243537,S,41.8
PI398231,S,44.6
PI549053,,43.8
PI561282A,,43.2
PI567722,,50.9
PI603382A,,43.5
PI603423B,,46.3
PI189871,S,43.4
PI229331,S,41.2
PI437995C,MS,47.1
PI603474,,43.5
PI417471,S,43.5
PI438307,MS,45.2
PI567437,MS,45.9
PI229360,MS,41.1
PI506734,S,44.1
PI567720B,,48.6
PI578385,,38.6
PI189867,S,44.5
PI437086,S,45.2
PI507093,S,41.3
PI567395,S,46.8
PI567716A,,47.2
PI171433,MS,42.6
PI261473,MS,42.1
PI283330,S,47.7
PI361081,S,43.2
PI378680C,,40.6
PI437715,MS,40.8
PI507439,S,41.2
PI416943,MS,44.4
PI417336,S,45.9
PI603571C,,42.3
PI603586,,44.7
PI603587B,,44.4
PI291275,S,43.8
PI342005,MS,40.1
PI437678B,S,43.3
PI167277,MS,43
PI291288,S,48.7
PI506673,S,41
PI416914,S,43.4
PI438341,MS,43.4
PI445844,S,46.1
PI587804,,42.5
PI398232,S,45.5
PI398270,S,45.5
PI417040B,S,47.9
PI437249,S,44.9
PI567706B,,47.9
PI437085,S,43.8
PI603421A,,40.9
PI603551B,,42.3
PI407870,S,44.4
PI437780,S,44.5
PI458520,,42.8
PI594445,,47.5
PI424348A,S,45.8
PI437877B,S,47.5
PI445815,S,43.7
PI567305,MS,41.7
PI437445,S,43.7
PI437718,S,47.2
PI438308B,MS,45.7
PI438493,MS,41
PI445817,S,41
PI171432,S,40.8
PI181550,S,45.2
PI416762,,45.3
PI437167A,MS,43.6
PI592931,,41.5
PI594584,,40.7
PI361085A,S,39.1
PI437453,S,46.6
PI438482,MS,42.7
PI567261A,,44.5
PI603545A,,45.9
PI438450,S,43.6
PI507441A,S,41.2
PI532467,S,43.4
PI567488B,,46.3
PI229352,S,41
PI438141A,MS,41.5
PI407806B,MS,45.1
PI567217C,,43.3
PI567263,,51.9
PI603445B,,45.9
PI424024,MS,48.6
PI424275,S,46.1
PI437788B,S,44.8
PI506800B,S,44.2
PI594481,,48.7
PI603556,,45.1
PI194639,S,40.8
PI437552,S,43.9
PI438161,S,44.8
PI518758,S,41.9
PI567507B,MS,48.7
PI243527,S,39.5
PI438508,S,44.9
PI507165,S,45.8
PI423983,S,41.1
PI437558,S,46.1
PI438411,MS,41.1
PI507434,S,43
PI567254,,45.2
PI437399,S,44.8
PI438497,,44.2
PI567336A,,47.6
PI424267,MS,42.4
PI437473,S,43
PI438330B,S,46
PI438465,S,42.9
PI567426,S,48.2
PI594696B,,46
PI154199,S,46.7
PI398504,S,46.8
PI424471,S,44.8
PI538386A,S,45.2
PI232992,S,41.1
PI189962,S,37.6
PI398275,S,46.3
PI438472,S,38.4
PI445804,MS,41.5
PI506652,S,40.7
PI561349,,44.2
PI424299B,S,43.5
PI339736,S,48.7
PI437886B,MS,44.5
PI358316C,S,43.2
PI398617,MS,46.9
PI417138,S,46
PI424159B,MS,44.2
PI437857B,S,47.1
PI438316,MS,43.9
PI594304A,,42
PI358320,S,42.7
PI506524,S,42.7
PI538383,S,45
PI578375A,,54.1
PI603541A,,40.1
PI603550,,45.5
PI437475,S,46.9
PI437703,S,42.8
PI507424,S,41.9
PI567621A,S,46.6
PI597651,,42.8
PI417514,S,42
PI594420,,42.4
PI384471,S,46.2
PI437222,MS,42
PI567661B,S,45.2
PI361075,S,43.7
PI417432,S,44.9
PI361082,S,42.2
PI593943,,40.4
PI603441,,46.5
PI200460,MS,39.8
PI262181,S,40.5
PI398185,S,43
PI437487,S,48.1
PI567442,S,44.4
PI567713D,S,47.4
PI603422D,,
PI408135B,MS,44.3
PI507461,S,44.3
PI567516C,,42.1
PI438416,MS,42.4
PI437655,,44
PI438319B,S,43.1
PI438483,MS,40.9
PI507449,S,42.2
PI135590,S,41
PI567425A,S,44.2
PI424192A,S,44.6
PI437679,,45.1
PI438190,S,41.2
PI567593A,MS,47.4
PI603458A,,43.5
PI507465,S,43.2
PI408064,S,44.6
PI438311,S,45.1
PI507197A,S,46
PI567650B,S,45.8
PI398638,S,47.5
PI437752C,S,42.8
PI442034,S,41.4
PI507442A,S,42.6
PI594319,,37.8
PI603436A,,41.5
PI243550,S,43.2
PI408311-1,S,45.8
PI438312,S,45.1
PI438488,S,42
PI468905,S,
PI603329,,40
PI361093,S,45.6
PI398698,MS,42.7
PI424257B,S,41.1
PI507245,S,41.5
PI361088A,S,44
PI438391,S,42.6
PI567302,S,42
PI189916,S,38.2
PI398806,S,46
PI407832B,S,46.3
PI567454,S,47.6
PI567524,S,51
PI291277,S,43.6
PI437693,S,41.2
PI603422C,,
PI437170,S,44.3
PI437760,S,45.4
PI567455,S,46.3
PI603437C,,41.5
PI378682C,S,48.8
PI438433,S,40
PI507528,S,43.5
PI592956B,,44.1
PI445794A,S,41.6
PI538401B,MS,47.7
PI567177,,42.7
PI567576,S,50.2
PI424499C,S,45.9
PI437500C,S,42.9
PI438507B,MS,41.8
PI507415,MS,43.1
PI561302A,,45.2
PI594439B,,42
PI360848,S,46.2
PI438043,MS,44.3
PI438063,S,46.5
PI532454,S,47.3
PI603422B,,47.3
PI437651A,S,44.7
PI340041,S,44.8
PI437659,S,44.9
PI507293A,S,40.3
PI507446,S,41.9
PI423935,S,43.6
PI567267B,,47.3
PI189861,S,38.2
PI442018,MS,46.3
PI398230,S,44
PI407805D,S,45.6
PI416968,S,44
PI417140,S,45.7
PI437721C,S,41.9
PI567419A,S,42.5
PI437570,S,45.4
PI567679A,,50.6
PI417516,S,44.3
PI437350,MS,42.9
PI437451,S,43
PI507348,S,42.1
PI567765D,MS,42.4
PI438287,S,44.7
PI438303,S,43.8
PI135589,S,39.1
PI408270A,S,46.3
PI578502,,39.8
PI361092,S,42.8
PI594501A,,46.2
PI594618A,,44.1
PI416991,S,44.4
PI423733,S,45.5
PI438406,S,43.3
PI567221,,44.3
PI567281A,,48.1
PI594614A,,42.9
PI248511,S,39.8
PI378660A,S,42.4
PI438073,MS,44.6
PI504812,S,41.3
PI594780,,45.8
PI603541B,,42
PI154191,S,43.5
PI416995,MS,40.8
PI504488,S,41.3
PI592980,,41.3
PI291318,S,42.9
PI567711B,,51.3
PI507271,S,45.8
PI437452A,S,44
PI536547C,S,46.9
PI437711B,S,47.6
PI567306B,S,42.2
PI339990,S,47.9
PI567671C,S,42.1
PI437789,S,44.1
PI458060B,S,44.1
PI512322C,S,43.8
PI567588A,S,48.2
PI180501,S,39.1
PI378682A,S,46.4
PI445798,MS,41.5
PI161431A,S,42.4
PI253656A,S,42.8
PI423951,S,45.4
PI438197,MS,42.5
PI507134,S,43.7
PI594430A,,44.6
PI424574,MS,45.3
PI490769,,41.5
PI507108,S,44.2
PI567420,S,43.1
PI567526,S,50.2
PI361078,S,43.8
PI398728,S,48
PI561350A,,47.2
PI340005,S,46.3
PI437507,S,43.5
PI507398,S,43.2
PI384469A,S,42.9
PI417577,S,44.3
PI437739,S,44.6
PI438480,S,43.1
PI603422A,,42.7
PI437790,S,42.8
PI507445,S,43.7
PI567277,,42.9
PI437661A,S,45.9
PI503336,S,41.4
PI507339,S,44
PI360958,MS,43.4
PI437826,S,43.5
PI567351A,MS,44.8
PI594403,,41
PI424281A,S,48.5
PI437447,S,43.2
PI507441B,S,42.2
PI567273B,,43.3
PI567633,MS,45.8
PI567201A,,44.9
PI567562A,MS,44.3
PI445808B,MS,41.9
PI507286B,S,42.9
PI567425B,S,52
PI417018,S,45.3
PI567537,S,50.5
PI437482,S,44.8
PI504500,S,42.3
PI567429A,S,44.3
PI437654,,45
PI445808A,MS,40.5
PI567447B,MS,47.4
PI594883,,48.6
PI603421B,,42.5
PI437823,S,44.8
PI232991,S,39.8
PI361077A,S,41.2
PI437090,MS,41.5
PI506815,S,43.7
PI507400,S,41
PI567266D,,47.4
PI567568A,MS,45.4
PI592981,,42.2
PI603754,,41.3
PI408171,S,45.8
PI506801B,S,43.2
PI507334,S,40.5
PI603777,,39.4
PI398199,S,45.5
PI437695A,S,43.5
PI464898,S,39.8
PI437241,MS,42.1
PI437455,S,45.4
PI567703,S,49.8
PI229345,S,41.9
PI424408,S,44.5
PI458141,MS,43.2
PI567258,,47
PI594415A,,43.8
PI594802A,,43.8
PI407386A,,42.8
PI437713,S,45.4
PI567704,S,49.4
PI189882,S,42.3
PI437345,S,44.7
PI458203B,MS,44.4
PI468904,MS,54.5
PI507386,S,42
PI417515,S,43.1
PI458508A,S,42.4
PI567716B,,47.5
PI567604B,MS,45.9
PI594801A,,45.3
PI437490,S,43.4
PI507570,S,41.4
PI567590A,S,45.9
PI507700,S,42.9
PI408138C,S,49.7
PI437295,S,45.6
PI468907,MS,49.5
PI342435B,MS,43.3
PI506481,S,43.3
PI567622,S,48.3
PI603759A,,50.4
PI232988,S,41.3
PI399072,S,48.4
PI408209A,S,46.7
PI597481,,44.1
PI235335,S,40.5
PI437116,S,45
PI437495,S,47
PI194643,S,44.5
PI438476,S,40
PI518831,S,44.2
PI567366A,MS,52.7
PI398426,S,41.7
PI437886A,S,46.7
PI567676A,,46.9
PI194624,S,41.9
PI506526,S,45.5
PI171421,S,39
PI437174A,S,43.3
PI437837B,S,45.3
PI437875B,S,43.5
PI507181,S,42
PI567304,MS,39.9
PI578473B,,43.5
PI189951,S,42.6
PI593982,,53.1
PI423814B,S,45.9
PI437415,S,43.4
PI567201B,,45
PI416904B,MS,47.9
PI445818B,MS,41.2
PI567719,,46.9
PI229333,S,40.5
PI567281B,,48.4
PI567709,,51.8
PI227320,S,43.7
PI592916,,40.5
PI594289,,42.7
PI603480,,44.7
PI438149,S,43
PI408124A,S,46.5
PI438468,MS,44.6
PI458276,S,42.6
PI506663,S,40.5
PI339868B,,43.9
PI401418,MS,43.8
PI567611,S,48.4
PI437454,S,44.5
PI437635D,S,43.4
PI232990,S,41
PI518720,S,47.1
PI567564,MS,45.9
PI232987,S,41
PI567676B,,46.9
PI438435A,MS,41.7
PI189866,S,44.3
PI437273B,S,41.6
PI567630A,S,49.2
PI423741,S,46
PI438123C,,44.6
PI507535,S,42.4
PI424367,S,46.3
PI438348B,S,41.9
PI173995,MS,43.7
PI393541B,S,44.3
PI416857,S,46.1
PI437382,S,43.3
PI507089A,S,43.5
PI594634,,41.3
PI507431,S,42.6
PI567690,,49.2
PI594444B,,46.8
PI507553,S,42.5
PI578499A,,46.2
PI594280A,,39.7
PI507281,S,41.3
PI567488C,,46.1
PI567522B,S,46.5
PI398368,S,46.6
PI438471,S,40.3
PI490767,S,41.6
PI398637,S,47.2
PI445789,MS,43.4
PI458053B,S,44
PI506760,S,41.7
PI567276,,46.2
PI567597B,S,49.2
PI594401C,,45
PI326579,S,43.1
PI398417,S,45.3
PI232989,S,40.5
PI437253,MS,41.7
PI437658,S,45
PI567175D,,43.2
PI229361,S,39.8
PI437846,S,46.5
PI248515,S,40.3
PI297500,S,44.2
PI417400,S,46.7
PI506521,S,40.9
PI578451,,47.1
PI416941,S,47.6
PI417478,S,41.8
PI399074,S,47.1
PI437783,MS,45.2
PI506852,S,42.7
PI567585A,S,50.6
PI567666,MS,48.5
PI398315,S,44.4
PI437663,S,45.9
PI567522A,S,48.2
PI398198,S,47
PI437167B,MS,43.1
PI438463,S,42.8
PI594408,,44.3
PI561231,,44.2
PI592954,,40.3
PI603324B,,40.5
PI361088B,S,40.8
PI181532,S,38.4
PI508296F,S,47.9
PI603390A,,44
PI567637,MS,45.8
PI438447,S,42.5
PI507240,S,43.5
PI567548,MS,45.5
PI437551,S,41.6
PI507527,S,45.7
PI594393,,42.3
PI567261B,,45.6
PI567561,S,49
PI408076A,S,43.3
PI506864A,S,40.2
PI507351,S,41.5
PI438502,S,43.5
PI423836,S,46.2
PI458103,S,43.5
PI522187,S,42.7
PI532456,S,51.3
PI593946,,41.9
PI603435B,,
PI594807B,,47.3
PI171449,MS,41.7
PI507173,S,40.7
PI507067,S,43
PI603342,,39.7
PI196529,MS,46.4
PI437863A,S,42.7
PI438165,S,43.2
PI458829,S,42.6
PI378678,S,41.6
PI423816,S,42.9
PI445810C,S,38.6
PI326580,MS,44.1
PI524994,S,42.2
PI567602B,S,48
PI378655,S,44.8
PI437676A,S,40.7
PI567250A,,46.4
PI291309C,S,46.7
PI407883,S,45.6
PI468908,,53.1
PI189936,S,43.4
PI398872,S,44.4
PI506601,S,41.6
PI243524,S,40.8
PI567167,,45.7
PI361077B,S,41.2
PI361085B,S,40.5
PI438079,S,45.1
PI437265C,S,41.5
PI445810B,S,42
PI506859,S,44.2
PI567250B,,42.1
PI124871,S,42.1
PI603377,,42.6
PI416832,S,45.1
PI504503,S,46
PI438304A,S,44.4
PI458129,MS,43.1
PI468913,S,52.6
PI506789,S,41.7
PI437309,S,44.3
PI445797,S,41.1
PI445845,MS,50.4
PI507097,S,42.1
PI417102A,S,43.9
PI506655,S,40.7
PI567663,S,46.7
PI567264B,,45.6
PI567748,,46.2
PI424302,MS,43.3
PI567705,MS,48.7
PI475811A,S,40.5
PI438207B,S,42.9
PI458246A,MS,41.6
PI567366B,S,50.8
PI594409A,,39.6
PI507277,S,43.3
PI424260,S,41.8
PI567468,S,47.7
PI423979,MS,47.7
PI398813,S,44.6
PI437103,MS,44.4
PI561233B,,44.2
PI567247,,48.7
PI567671B,MS,50.6
PI438331B,S,43.2
PI445807B,MS,39.9
PI603356,,37.6
PI592911B,,39.5
PI358318B,MS,46.8
PI507692A,S,48
PI567529,S,48.9
PI438330A,S,44.6
PI184046,S,39.7
PI437677,S,41.3
PI408315A,S,45.2
PI157397,S,42.9
PI445793,S,44.1
PI588025,,45
PI398643,S,46.6
PI437662,S,45.8
PI438501,S,43.3
PI445807A,MS,40.2
PI437186,MS,42.9
PI468912,S,47.6
PI603389,,43
PI438489A,MS,45.1
PI567765C,MS,45
PI398329,S,43.4
PI378682B,S,47.6
PI437881,MS,43.6
PI605804B,,
PI468906,MS,46.1
PI398357,MS,43.1
PI437621B,S,42.8
PI398680,,43.8
PI561309B,,47.2
PI468911,S,52.1
PI567578A,S,44.6
PI592917,,42.5
PI458105,MS,45
PI408079A,S,48.4
PI404192B,S,44
PI603561,,39.7
PI507315,S,44.7
PI578498A,,43.6
PI398887,S,44.6
PI567636,MS,46.8
PI274210,S,45.7
PI408068B,S,42.9
PI416945,S,45.9
PI398775,S,46.7
PI509088,S,51
PI532466B,S,47.6
PI567638,S,47.8
PI532460A,S,48.2
PI532466A,S,46.7
PI594799A,,42.3
PI507172,S,40.9
PI507411,S,40.8
PI567702A,MS,50.3
PI567531,MS,46.4
PI506731,S,42.3
PI567597A,S,46.1
PI567283,,42.1
PI424202,MS,45.1
PI507696C,S,46.8
PI424317,S,46.4
PI507347,S,41
PI567626,MS,43.9
PI408260A,S,46.7
PI468910,S,53.3
PI507407,S,41.5
PI424305,MS,46.5
PI442012B,MS,44.2
PI507413,MS,43.2
PI424308,S,46
PI437514B,S,43.3
PI567718,,47.7
PI603308B,,39.5
PI417457,S,45.6
PI506850,S,41.6
PI398522,MS,49
PI507291,S,43
PI157485,S,44
PI479762,S,39.3
PI506720,S,42.7
PI594488,,42
PI438475A,S,40.8
PI567565,MS,46.9
PI437096,MS,41.5
PI507473,S,43
PI567765A,S,49.4
PI157462,S,41.7
PI361086,S,43.4
PI567255A,,45.3
PI398414,S,47.1
PI561333,,42.8
PI549049B,,43.2
PI567677,MS,46.7
PI187153,S,43.5
PI458306A,S,43.9
PI508296H,S,51.5
PI235346,S,41.9
PI567601,S,45.6
PI361083,MS,43.6
PI567530,MS,46
PI437342,MS,43.7
PI567688A,,49.6
PI398640,S,47.1
PI594146,,42.5
PI424383,S,42.8
PI437514A,S,42.7
PI506863,S,44.2
PI567742A,,44.9
PI427142,S,45.8
PI506671,S,43.1
PI398886,S,46.7
PI437449,S,45.9
PI567168,,43.9
PI506642,S,44.2
PI438441,MS,42.8
PI567569,S,46.3
PI437520B,S,44.4
PI442016,MS,45.7
PI248400,S,37.2
PI458157,MS,45.4
PI424214C,S,43.5
PI458056,S,43.1
PI506678,S,42
PI506994,S,42
PI399079,S,45
PI417459,MS,48.2
PI437274,MS,40.5
PI594479,,44.7
PI361094,S,41.8
PI398389,S,45
PI594410,,41.3
PI437674,S,43.8
PI602491,,43.6
PI506498,S,43.5
PI567270A,,48.2
PI578486,,46
PI594633,,44.7
PI408124B,S,42.5
PI424380,S,46
PI189892,S,37
PI297514,S,46.5
PI561276,,45.1
PI468909,S,54.4
PI507311,MS,44
PI594582,,41.7
PI567664,S,47.6
PI518283,S,48.1
PI424216,S,45.7
PI567701,MS,46.7
PI437985B,MS,44.1
PI506865,S,43.4
PI506692,S,42.2
PI567189A,,47.4
PI605840C,,43.4
PI438062,MS,45.6
PI189859,S,44.4
PI458079,S,44.2
PI506674,S,41.8
PI437314,S,45.6
PI408280,S,46.5
PI567432C,S,49.6
PI458288,S,45
PI603313,,41.1
PI494525,S,41.2
PI424342B,S,45.1
PI423943,S,45.4
PI424336,S,46.6
PI437840A,S,41.9
PI507123,S,45
PI437650B,S,46.9
PI507239,S,47
PI567765B,S,44.9
PI361091,S,44.3
PI398758,S,43.5
PI592974,,42.5
PI424324A,MS,43.4
PI437757,S,45.8
PI538385A,S,47
PI437401,MS,44.2
PI391586,S,45.8
PI416989,S,42.9
PI567773,,46.3
PI423769A,S,47.5
PI438281,S,43.5
PI123578,S,44.9
PI592911A,,44.3
PI567419B,S,44.5
PI506641,S,40.8
PI506821,S,42.4
PI567261E,,47
PI593938,,40
PI181554,S,42.9
PI567594A,MS,45.9
PI180509,S,41.7
PI398392,S,45.8
PI518753,S,46.2
PI567216B,,43.8
PI468408A,S,42.8
PI603910B,,51.1
PI437297,S,43.7
PI438271B,MS,39.2
PI438494,MS,44.2
PI408084B,S,44.3
PI445801B,MS,42.4
PI437873,S,40.7
PI438319A,S,42.4
PI442036,S,39.9
PI491579,S,41.3
PI438292,S,44.9
PI361089,S,45.6
PI458252,MS,42.5
PI398708,MS,44.2
PI592934,,42.4
PI458171B,S,45.4
PI438136,S,45.7
PI424005,MS,48.8
PI361096,S,44.1
PI592908,,40.2
PI567249,,48.3
PI567296A,MS,44.1
PI567572B,MS,47.3
PI603315,,40
PI561233C,,40.9
PI603661B,,
PI417518,S,44.7
PI417488,S,45.9
PI437227,MS,42.6
PI538385B,S,48.3
PI187152,S,40.2
PI458111,S,42.1
PI549051A,,42.6
PI588027B,,45.3
PI437172,MS,44.2
PI504481,S,43.9
PI567297,S,42.1
PI567625,S,45.9
PI594413,,41.3
PI445818A,MS,42
PI417437,S,44.9
PI398242,S,45.9
